modele,prix,prix_texte,url_modele,brand
Bako Bee,18264,18 264DT,https://www.automobile.tn/fr/neuf/bako/bee,electrique
Bako B-Van,225868900,22 586DT8 900 $ HT,https://www.automobile.tn/fr/neuf/bako/evan,electrique
NouveauAvantier Avantier C,28700,28 700DT,https://www.automobile.tn/fr/neuf/avantier/avantier-c/14-kwh,electrique
NouveauCenntro Logistar 100,32800,32 800DT,https://www.automobile.tn/fr/neuf/cenntro/logistar-ls-100/16-kwh,electrique
NouveauAvantier Commuter,45000,45 000DT,https://www.automobile.tn/fr/neuf/avantier/commuter/31-kwh,electrique
NouveauDongfeng Box,49990,49 990DT,https://www.automobile.tn/fr/neuf/dongfeng/box,electrique
NouveauCenntro Logistar 210,66900,66 900DT,https://www.automobile.tn/fr/neuf/cenntro/logistar-ls-210/41.85-kwh,electrique
NouveauMG S5,84950,84 950DT,https://www.automobile.tn/fr/neuf/mg/s5/64-kwh,electrique
NouveauCenntro Logistar 260,88600,88 600DT,https://www.automobile.tn/fr/neuf/cenntro/logistar-ls-260/43.5-kwh,electrique
BYD Dolphin,9499027150,94 990DT27 150 $ HT,https://www.automobile.tn/fr/neuf/byd/dolphin/fwd,electrique
PromoGeely Geometry C,1090001119002900,109 000DT111.900 DT2900 DT de remiseBorne de recharge domestique EvBox,https://www.automobile.tn/fr/neuf/geely/geometry/70-kwh,electrique
PromoVolvo EX30,1199001249003,119 900DT124.900 DTAssurance tous risques offerte3 ans d’entretien inclus,https://www.automobile.tn/fr/neuf/volvo/ex30,electrique
Hyundai Kona Electric,123900,123 900DT,https://www.automobile.tn/fr/neuf/hyundai/kona-ev/bva,electrique
BYD Atto 3,12399035650,123 990DT35 650 $ HT,https://www.automobile.tn/fr/neuf/byd/atto-3/bev,electrique
Mini Cooper Electric,12990036900,129 900DT36 900 € HT,https://www.automobile.tn/fr/neuf/mini/cooper-e/36.6-kwh-classic,electrique
Mini Aceman Electric,13990038900,139 900DT38 900 € HT,https://www.automobile.tn/fr/neuf/mini/aceman/42.5-kwh,electrique
Hyundai Ioniq 5,168950,168 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-5,electrique
MG Cyberster,179950,179 950DT,https://www.automobile.tn/fr/neuf/mg/cyberster/77-kwh-rwd,electrique
Volvo EC40,1899003,189 900DTAssurance tous risques offerte3 ans d’entretien inclus,https://www.automobile.tn/fr/neuf/volvo/ec40-recharge,electrique
Mini Countryman Electric,18990055900,189 900DT55 900 € HT,https://www.automobile.tn/fr/neuf/mini/countryman-electric/42.5-kwh-favoured,electrique
Hyundai Ioniq 6,199950,199 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-6,electrique
KIA EV6,19998059900,199 980DT59 900 $ HT,https://www.automobile.tn/fr/neuf/kia/ev6,electrique
BMW iX1,22390054900,223 900DT54 900 € HT,https://www.automobile.tn/fr/neuf/bmw/ix1,electrique
BYD Tang EV,22999066200,229 990DT66 200 $ HT,https://www.automobile.tn/fr/neuf/byd/tang-ev/bev,electrique
BMW iX2,23290064900,232 900DT64 900 € HT,https://www.automobile.tn/fr/neuf/bmw/ix2,electrique
BMW i4,24590068900,245 900DT68 900 € HT,https://www.automobile.tn/fr/neuf/bmw/i4,electrique
Mercedes-Benz EQB,249900,249 900DT,https://www.automobile.tn/fr/neuf/mercedes-benz/eqb/250plus-amg,electrique
NouveauHyundai Ioniq 5 N,249950,249 950DT,https://www.automobile.tn/fr/neuf/hyundai/ioniq-5-n/84-kwh-4wd,electrique
KIA EV6 GT,262980,262 980DT,https://www.automobile.tn/fr/neuf/kia/ev6-gt/awd,electrique
Audi DaysAudi Q6 e-tron,26900028000011000,269 000DT280.000 DT11.000 DT de remiseBorne wallbox offerte,https://www.automobile.tn/fr/neuf/audi/q6-e-tron/100-kwh-quattro-s-line,electrique
NouveauAudi A6 Sportback e-tron,269000,269 000DT,https://www.automobile.tn/fr/neuf/audi/a6-sportback-e-tron/100-kwh-performance,electrique
NouveauAudi Q6 Sportback e-tron,289000,289 000DT,https://www.automobile.tn/fr/neuf/audi/q6-sportback-e-tron/100-kwh-quattro-s-line,electrique
Porsche Macan Electric,295000,295 000DT,https://www.automobile.tn/fr/neuf/porsche/macan-electric,electrique
KIA EV9,299980,299 980DT,https://www.automobile.tn/fr/neuf/kia/ev9,electrique
BMW i5,32790090900,327 900DT90 900 € HT,https://www.automobile.tn/fr/neuf/bmw/i5/edrive40-pack-m,electrique
Mercedes-Benz EQE Berline,349000,349 000DT,https://www.automobile.tn/fr/neuf/mercedes-benz/eqe-berline/350plus-amg,electrique
Audi DaysAudi E-tron GT,36000039000022,360 000DT390.000 DTWallbox 22 kW offerte,https://www.automobile.tn/fr/neuf/audi/e-tron-gt/quattro,electrique
PromoBMW iX,369900118900431900,369 900DT118 900 € HT431.900 DT,https://www.automobile.tn/fr/neuf/bmw/ix,electrique
Mercedes-Benz EQE SUV,429900,429 900DT,https://www.automobile.tn/fr/neuf/mercedes-benz/eqe-suv/350-4matic,electrique
Porsche Taycan,448000,448 000DT,https://www.automobile.tn/fr/neuf/porsche/taycan,electrique
Porsche Taycan Cross Turismo,475000,475 000DT,https://www.automobile.tn/fr/neuf/porsche/taycan-cross-turismo/4-2025,electrique
Mercedes-Benz EQS Berline,519900,519 900DT,https://www.automobile.tn/fr/neuf/mercedes-benz/eqs-berline/450-4matic-amg,electrique
Mercedes-Benz EQS SUV,549900,549 900DT,https://www.automobile.tn/fr/neuf/mercedes-benz/eqs/450-4matic-amg,electrique
NouveauMercedes-Benz Classe G Electrique,599000,599 000DT,https://www.automobile.tn/fr/neuf/mercedes-benz/classe-g-electric,electrique
Alfa Romeo Giulia,198000,198 000DT,https://www.automobile.tn/fr/neuf/alfa-romeo/giulia/2.0-turbo-bva-super,alfa-romeo
Alfa Romeo Stelvio,265000,265 000DT,https://www.automobile.tn/fr/neuf/alfa-romeo/stelvio/2.0-turbo-q4-bva,alfa-romeo
Audi DaysAudi A3 Sportback,1399902990014999010000,139 990DT29 900 € HT149.990 DT10.000 DT de remiseCarte carburant Shell offerte,https://www.automobile.tn/fr/neuf/audi/a3-sportback,audi
Audi DaysAudi A3 Berline,165990335001750009010,165 990DT33 500 € HT175.000 DT9010 DT de remise,https://www.automobile.tn/fr/neuf/audi/a3-berline/35-tfsi-dynamic-edition,audi
Audi DaysAudi Q2,149990305001590009010,149 990DT30 500 € HT159.000 DT9010 DT de remise,https://www.automobile.tn/fr/neuf/audi/q2/35-tfsi-bva-urban-line,audi
Audi DaysAudi Q3,19900021200013000,199 000DT212.000 DT13.000 DT de remise,https://www.automobile.tn/fr/neuf/audi/q3/35-tfsi-s-tronic-advanced-line,audi
Audi DaysAudi Q3 Sportback,21900023900020000,219 000DT239.000 DT20.000 DT de remise,https://www.automobile.tn/fr/neuf/audi/q3-sportback/35-tfsi-s-tronic-business-limited-plus,audi
